url,full_title,title,numeric_title,effect,category,is_harmful
https://calorizator.ru/addon/e1xx/e161a,E161a Флавоксантин,флавоксантин,E161a,Не для пищевых продуктов,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161b,E161b Лютеин,лютеин,E161b,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161c,E161c Криптоксантин,криптоксантин,E161c,Не для пищевых продуктов,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161d,E161d Рубиксантин,рубиксантин,E161d,Не для пищевых продуктов,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161e,E161e Виолоксантин,виолоксантин,E161e,Не для пищевых продуктов,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161f,E161f Родоксантин,родоксантин,E161f,Не для пищевых продуктов,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161g,E161g Кантаксантин,кантаксантин,E161g,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161h,E161h Зеаксантин,зеаксантин,E161h,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161i,E161i Цитранаксантин,цитранаксантин,E161i,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e161j,E161j Астаксантин,астаксантин,E161j,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e162,E162 Свекольный красный (бетанин),свекольный красный,E162,Считаются безвредными,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e163,E163 Антоцианы,антоцианы,E163,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e164,E164 Шафран,шафран,E164,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e165,E165 Гардения синяя,гардения синяя,E165,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e166,E166 Сандаловое дерево,сандаловое дерево,E166,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e170,E170 Карбонаты кальция (мел),карбонаты кальция,E170,Считаются безвредными,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e171,E171 Диоксид титана,диоксид титана,E171,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e172,E172 Оксиды железа,оксиды железа,E172,Нет данных,E1xx Красители,0
